Phone Name,List Price,Current Price,Brand Name,Operating System,RAM Memory Installed,About This Item,Product URL
"Xiaomi Redmi A5 Smartphone 4GB + 128GB, Battery 5200mAh Octa-Core Processor, 32MP Al Dual Camera, 6.88 Inch Display, Midnight Black| 18 Month manufacturer warranty","4,999","4,666",XIAOMI,Android 15,4 GB,"Smooth experience: The impressive 6.88 inch display offers a larger display area thanks to the extra-large display. Whether you're watching a movie or playing a game, it instantly attracts your attention. | 【Upgraded Processor】Powerful octa-core processor - No more delays. Powerful octa-core processor (2.4-5 GHz at Wi-Fi) for more balanced performance, less delays and more fun. | Extremely long battery life: the battery of the Redmi A5 smartphone has excellent 5200 mAh (typical value). Thanks to the long battery capacity, you can travel, watch videos or attend online meetings without worrying about power problems. | Intelligent operation: The Redmi A5 also offers multiple unlocking methods such as secure fingerprint unlocking and face unlocking for smarter and more convenient use.",https://www.amazon.eg/-/en/Smartphone-Octa-Core-Processor-Midnight-manufacturer/dp/B0F6LYPHP3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-1&xpid=b4uF2OEAeCBT_
"Xiaomi Redmi Note 14 Smartphone, 8 + 256 GB, Black, 108 MP AI Camera System, 5500 mAh Battery, 120 Hz Eye Protection Display, AI Functions | 18 Month manufacturer warranty","9,999","9,099",XIAOMI,Android 14,8 GB,"108MP AI Camera System | 5500 mAh battery with 33 W TurboCharge | MediaTek Helio G99-Ultra, 6nm manufacturing process technology | Corning Gorilla Glass 5 | 120Hz eye protection display, touch control with wet fingers",https://www.amazon.eg/-/en/Smartphone-Protection-Functions-manufacturer-warranty/dp/B0DW1X3Z4D/ref=sr_1_2?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-2&xpid=b4uF2OEAeCBT_
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","24,699","21,899",Samsung,android,12 GB,"CIRCLE IT, FIND IT: Circle to Search with Google is available on Galaxy A56 5G. Just circle, highlight or tap an object or text onscreen to get Google Search results | TURN PHOTOS INTO MASTERPIECES: Object Eraser removes unwanted distractions in the background will be recognized, removed and filled in to make a flawless photo | FILTERS JUST FOR YOU: Create your own filter or add a retro film effect to photos and videos | BUILT TO LAST WITH 6X OS UPGRADES: Galaxy A56 5G supports up to 6 generations of OS upgrades and up to 6 years of security updates to keep it running as good as new | LONG BATTERY LIFE FOR ALL-DAY WATCHING: With a long-lasting 5,000 mAh (typical) battery, you can enjoy movie marathons for up to 29 hours without having to charge your Galaxy A56 5G",https://www.amazon.eg/-/en/Samsung-Smartphone-Lightgray-Upgrades-Warranty/dp/B0DZHMVV91/ref=sr_1_3?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-3&xpid=b4uF2OEAeCBT_
N/A,N/A,N/A,N/A,N/A,N/A,,https://www.amazon.eg/-/en/Samsung-Storage-Smartphone-6-7-Inch-Warranty/dp/B0FR8X25RH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-4&xpid=b4uF2OEAeCBT_
N/A,N/A,N/A,N/A,N/A,N/A,,https://www.amazon.eg/-/en/HONOR-128GB-Internal-Storage-5200mAH/dp/B0DK1Z2JTV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-5&xpid=b4uF2OEAeCBT_
"Samsung Galaxy A17 LTE, Android Smartphone, 128GB Storage, 6GB RAM, Black, 6x OS Upgrades, Large Display, 50MP OIS Camera 1 Year Warranty/Local Version","8,635","7,899",Samsung,Android,6 GB,"GEMINI: Talk with Gemini about anything you see. Speak freely and naturally with Gemini Live to get information in real time. Share your moments through the camera to ask for advice or ideas. | DESIGN: Sleek and stylish. A slimmer 7.5 mm frame with a revamped Key Island 2.0, and linear camera cluster give you more style with less bulk. It comes in Black, Gray, and Blue. | CAMERA: Steady video and brighter night photos with OIS. | OS & SMR UPDATE: Stay current with 6x OS upgrades and security updates. Keep your device current and your info protected with 6x OS upgrades and 6 years of security support. | DISPLAY: Vibrant 6.7"" Super AMOLED screen with fluid refresh rate. A wide and smooth 6.7-inch screen with Super AMOLED vibrancy and a 90Hz refresh rate means your world looks rich, bright, and immersive.",https://www.amazon.eg/-/en/Samsung-Android-Smartphone-Upgrades-Warranty/dp/B0FND1GG2X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-6&xpid=b4uF2OEAeCBT_
"Samsung Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lavender, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",N/A,N/A,Samsung,Android,8 GB,"SLIMMER DESIGN WITH A STYLISH TWIST: Make a statement with a mix of minimalism and durability with Galaxy A36 5G. Featuring a clean, linear grouped camera layout with a premium glass back. Built with a slimmer bezel and flat side frame,offering a slim,stylish feel and finish. | CIRCLE IT, FIND IT: Simply Circle to Search. Just circle the text or object you desire and get search results effortlessly. | FILTERS JUST FOR YOU: Craft one-of-a-kind photos with Galaxy A36 5G as your canvas and gallery images as your palette. Filters analyze your photos to create custom effects, from black and white to analog, making each shot uniquely yours. | ERASE THE UNNECESSARY EXTRAS: Transform your shot into a flawless work of art. Enhanced Object Eraser effortlessly detects, suggests and removes unwanted people in the background — while Edit Suggestion offers creative recommendations to deliver the finishing touch. | POWER TO PERFORM: Harness the full power of the Octa-core processor with a robust CPU, GPU and NPU, made to multitask, play games and stream your favorite shows. Galaxy A36 5G comes with an 15% larger vapor chamber to stay cool while handling tasks with ease. | BUILT TO LAST WITH 6X OS UPGRADES: Stay up to date with 6 generations of OS upgrades and 6 years of security updates to keep your Galaxy A36 5G secure and performing at its best. | BUILT TO KEEP YOUR PASSWORD SECURE WITH KNOX VAULT: Safeguard your sensitive data with EAL5+ certified Knox Vault for advanced protection.",https://www.amazon.eg/-/en/Samsung-Smartphone-Lavender-Octa-Core-Processor/dp/B0DZHL6LHZ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-7&xpid=b4uF2OEAeCBT_
"HONOR X6c 6GB RAM 128GB Storage, 50MP AI Camera, 5200mAh Battery, MediaTek Helio Moonlight White |1 year manufacturer warranty","5,799","5,599",HONOR,"Android 15, Magic OS 9",6 GB,"AI Button: One-Click Access, AI at Your Service | Water Resistance for Everyday Ease: relax without worrying about spills, splashes, or drops | 5200 mAh Battery & 35W Charger: Big battery capacity for longer life span 4 years | 50MP Clarity AI Camera: stunning detail with a 50MP camera, delivering clarity day or night",https://www.amazon.eg/-/en/HONOR-MediaTek-Moonlight-manufacturer-warranty/dp/B0FD9VQ4PP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-8&xpid=b4uF2OEAeCBT_
Oppo Reno 14F 5G 12Gb 256GB Opal Blue,"19,990","18,680",OPPO,N/A,N/A,Oppo Reno 14F 5G 12Gb 256GB Opal Blue,https://www.amazon.eg/-/en/Oppo-Reno-12Gb-256GB-Opal/dp/B0FLF62DS9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-9&xpid=b4uF2OEAeCBT_
N/A,N/A,N/A,N/A,N/A,N/A,,https://www.amazon.eg/-/en/Apple-iPhone-13-128-Starlight/dp/B09G9BJD28/ref=sr_1_10?dib=eyJ2IjoiMSJ9.rIa-SkRtqef3YKEbowLKnJdJruRlIURIZkK0Rg2LOGvf4mCl_8yyU6k2Ywq5PzcY1f8Y1y30Aimc-JxyX9EJ3aByhhcg7fiV32107LGxZwn-b2whHEiS_ABanjsBjf9uCqALp13ibX0Asc8MPSEIt-5RlPt98uMvVLU7G6RjbGN8rzg0bjOxwkU4e4ROBW-QU35aaU7DBQ6I8qvFwM5qtI2sLx-8FCUQcVde9REn8VwyZtCK1KLQ0LuMYtfxwMNzE_mCSXXphlPgLnQOnHYGo9g7bVHyuGZ8VbASb8B42Fw.-E54XfZKCOO9GOOgPzuW2AYln0rFtBTJ2FzpVqMG1QU&dib_tag=se&qid=1762602644&s=electronics&sr=1-10&xpid=b4uF2OEAeCBT_
